year,pop_name,reg,popwgt.absolute.hy,popwgt.relative.hy
2011,Asian,West,-0.00363450972625697,0.698558842518527
2011,Pacific,West,-0.000537792409431401,0.955396249124719
2011,Hispanic,West,1.28318483496436e-05,1.00106425556966
2012,White,West,0.000527412539311019,1.05604282046979
2012,Black,West,-0.00276249635214183,0.706457325960118
2012,Native,West,0.00670960139980341,1.71296178730263
2012,Asian,West,-0.0027530207509681,0.70746420269482
2012,Pacific,West,0.000644108288534041,1.06844290282626
2012,Hispanic,West,0.000169698786290957,1.01803218146172
2013,White,West,0.00052087774418646,1.05138714358415
2013,Black,West,-0.00308219509362523,0.695926340493077
2013,Native,West,0.00735372238260912,1.72548077196758
2013,Asian,West,-0.00204971977697407,0.797785093215776
2013,Pacific,West,0.00210656549530739,1.20782301564036
2013,Hispanic,West,0.00116585978242871,1.11501778432139
2014,White,West,0.000410347182157902,1.04941646637103
2014,Black,West,-0.00210654097672798,0.746317713726593
2014,Native,West,0.00531841765055217,1.64047572008049
2014,Asian,West,-0.00214253841020162,0.741982687100264
2014,Pacific,West,0.00135635327626508,1.16334018845045
2014,Hispanic,West,0.000357043477603977,1.04299731488645
2015,White,West,0.000375221929346629,1.05808383432182
2015,Black,West,-0.00222621085725013,0.655385646507618
2015,Native,West,0.00564295520988547,1.87352164109164
2015,Asian,West,-0.0014311681697399,0.778457152004458
2015,Pacific,West,0.0016774048583687,1.25965994592522
2015,Hispanic,West,0.000698855636159011,1.10818188333558
2016,White,West,0.000261685951853263,1.05814859048364
2016,Black,West,-0.00143236703825276,0.68171725023924
2016,Native,West,0.00341357971304131,1.75852313588538
2016,Asian,West,-0.00106726435967556,0.762845816716391
2016,Pacific,West,0.000603512170935083,1.13410495225694
2016,Hispanic,West,0.000208944848328816,1.04642911984038
2017,White,West,0.00023547735641774,1.0564702572581
2017,Black,West,-0.00129960355682556,0.688339684528803
2017,Native,West,0.00390663762011652,1.93685794157963
2017,Asian,West,-0.00107807274043804,0.741465396411717
2017,Pacific,West,0.000585102025309157,1.14031439113333
2017,Hispanic,West,0.000288352143880569,1.06915025713544
2018,White,West,0.000205490301365006,1.05665563728916
2018,Black,West,-0.00114075809006633,0.685482107154673
2018,Native,West,0.0034723333092477,1.95735543336601
2018,Asian,West,-0.000918499798987979,0.746760839241772
2018,Pacific,West,0.000576884603183169,1.15905259089377
2018,Hispanic,West,0.000303311023125593,1.08362574388114
2019,White,West,0.000214219293455298,1.05866275225349
2019,Black,West,-0.00113892056431767,0.688112990089225
2019,Native,West,0.00268968642085713,1.7365555436268
2019,Asian,West,-0.000846013614333711,0.768323915833034
2019,Pacific,West,0.000695115672661332,1.19035352901749
