year,pop_name,state_name,reg,relative_PWE_enhancement
2009,Native,Arkansas,South,0.898661172514777
2017,Pacific,Arkansas,South,0.735459775271336
2004,Hispanic,Arkansas,South,0.863427954319198
2012,Hispanic,Arkansas,South,0.883118180910835
2017,White,Arkansas,South,1.01238221494638
2015,Black,Arkansas,South,0.971678724420521
2018,Asian,Arkansas,South,0.93221053390511
2010,Asian,Arkansas,South,0.884489281563459
2002,Asian,Arkansas,South,0.879509140327981
2012,White,Arkansas,South,1.00443405090702
2004,White,Arkansas,South,1.00489307563776
1999,Native,Arkansas,South,0.85554315141687
2015,Pacific,Arkansas,South,0.722195863478354
2007,Pacific,Arkansas,South,0.687470454929951
1999,Pacific,Arkansas,South,0.714848021255949
2019,Asian,Arkansas,South,0.913376005447945
2002,Native,Arkansas,South,1.03748625243213
2013,Hispanic,Arkansas,South,0.830729862425157
2005,Hispanic,Arkansas,South,0.918231926007579
2013,Native,Arkansas,South,0.851551506461446
2019,Native,Arkansas,South,0.760135899837469
2008,Black,Arkansas,South,1.0365877901972
2013,Pacific,Arkansas,South,0.717460325667788
2011,Asian,Arkansas,South,0.876361962204111
2020,Asian,Arkansas,South,0.939308442250909
2013,White,Arkansas,South,1.00431033108924
2014,Asian,Arkansas,South,0.883783611489136
2016,Pacific,Arkansas,South,0.727012712622957
2008,Asian,Arizona,West,0.615699736512731
1999,Black,Arizona,West,1.02534237802719
2000,Pacific,Arizona,West,0.585547597401087
2020,Black,Arizona,West,0.881080704912449
2008,Hispanic,Arizona,West,0.908409367371723
2005,Pacific,Arizona,West,0.703666715152152
2001,White,Arizona,West,1.01300953518185
2018,White,Arizona,West,1.02309402417059
2001,Pacific,Arizona,West,0.581887093794407
1999,Asian,Arizona,West,0.537214142409252
2010,Pacific,Arizona,West,0.749064948034352
2011,Native,Arizona,West,1.43800558745621
2000,Black,Arizona,West,1.05846395343505
2001,Black,Arizona,West,0.997978564653404
2003,Pacific,Arizona,West,0.646968407884269
2006,Native,Arizona,West,1.5558089623392
2018,Native,Arizona,West,1.74326778852443
2013,Asian,Arizona,West,0.718152559288613
2012,Asian,Arizona,West,0.645729143396396
2002,Native,Arizona,West,1.65394767814809
2003,Hispanic,Arizona,West,0.976772097551676
2011,Hispanic,Arizona,West,0.95429222678047
2012,Hispanic,Arizona,West,0.956930566094835
2020,Pacific,Arizona,West,0.755327225475316
2007,Black,Arizona,West,1.03649878842856
2015,Black,Arizona,West,0.845118102870258
2007,Hispanic,Arizona,West,0.893267951129614
2010,Asian,Arizona,West,0.671603290145633
2002,Asian,Arizona,West,0.57169864139453
2013,White,Arizona,West,1.02318065518813
2020,Asian,Arizona,West,0.657825984397402
2004,White,Arizona,West,1.01186830384481
2007,Pacific,Arizona,West,0.64804834611529
2001,Native,Arizona,West,1.61277321067649
2005,Asian,Arizona,West,0.641777024955634
2007,White,Arizona,West,1.00760282551816
2004,Hispanic,Arizona,West,0.979799966322157
2005,Hispanic,Arizona,West,0.940823247248287
2000,Asian,Arizona,West,0.550617888580516
2002,White,Arizona,West,1.01397316247318
2019,Native,Arizona,West,1.66460353953726
2016,Black,Arizona,West,0.863901055675953
2003,Asian,Arizona,West,0.572665164809924
2007,Native,Arizona,West,1.65987511288454
2005,White,Arizona,West,1.00891088004899
2011,Black,Arizona,West,0.990246278313745
2006,Asian,Arizona,West,0.566621027540479
2014,Asian,Arizona,West,0.606773392446378
2020,Native,Arizona,West,1.67245728281672
2002,Pacific,Arizona,West,0.617193113914284
2003,Native,Arizona,West,1.65353417947048
2000,White,Arizona,West,1.00584303655495
