year,pop_name,reg,relative_PWE_enhancement
2010,Black,West,0.976725396618
2010,Hispanic,Northeast,0.712723819709634
2010,Hispanic,South,0.728214640915197
2010,Hispanic,North Central,0.714370534964022
2010,Hispanic,West,0.786105677756584
2010,Native,Northeast,0.72746884388013
2010,Native,South,0.788435405422326
2010,Native,North Central,0.604858562077553
2010,Native,West,1.16586638666327
2010,Pacific,Northeast,0.751768497384638
2010,Pacific,South,0.754304124629903
2010,Pacific,North Central,0.633776173427719
2010,Pacific,West,0.624801943388817
2010,White,Northeast,1.00497157245326
2010,White,South,0.985633519100153
2010,White,North Central,0.984056169775056
2010,White,West,1.04204947100419
2011,Asian,Northeast,0.786032328220148
2011,Asian,South,0.902547643514977
2011,Asian,North Central,0.901944362420713
2011,Asian,West,0.528512799405019
2011,Black,Northeast,0.991008424203294
2011,Black,South,1.09090305217827
2011,Black,North Central,1.17152930341896
2011,Black,West,1.09206290291489
2011,Hispanic,Northeast,0.67190802447241
2011,Hispanic,South,0.724036131403798
2011,Hispanic,North Central,0.690333448723465
2011,Hispanic,West,0.74260351881196
2011,Native,Northeast,0.691934773760594
2011,Native,South,0.777742302130613
2011,Native,North Central,0.56903617450618
2011,Native,West,1.09094913898505
2011,Pacific,Northeast,0.701377034838758
2011,Pacific,South,0.744619467727184
2011,Pacific,North Central,0.614327639695854
2011,Pacific,West,0.561812236746337
2011,White,Northeast,1.02016983652301
2011,White,South,0.990379187408864
2011,White,North Central,0.9865527472426
2011,White,West,1.03278041440711
2012,Asian,Northeast,0.760992738324491
2012,Asian,South,0.894088822352205
2012,Asian,North Central,0.891798616205275
2012,Asian,West,0.537805735881606
2012,Black,Northeast,0.987293362023621
2012,Black,South,1.044861197202
2012,Black,North Central,1.14215186020796
2012,Black,West,1.00428647825475
2012,Hispanic,Northeast,0.638055317634598
2012,Hispanic,South,0.798496997479156
2012,Hispanic,North Central,0.721801196984265
2012,Hispanic,West,0.758118369287495
2012,Native,Northeast,0.648960318077041
2012,Native,South,0.844783843373902
2012,Native,North Central,0.601230134849367
2012,Native,West,1.14281910739206
2012,Pacific,Northeast,0.674309880462077
2012,Pacific,South,0.764450552960355
2012,Pacific,North Central,0.616987547170584
2012,Pacific,West,0.630274370104526
2012,White,Northeast,1.02372260516116
2012,White,South,0.999420248663866
2012,White,North Central,0.991150954289547
2012,White,West,1.04095430056245
2013,Asian,Northeast,0.759729139666242
2013,Asian,South,0.917918808929881
2013,Asian,North Central,0.894990022977816
2013,Asian,West,0.608619445188945
2013,Black,Northeast,0.980125330217797
2013,Black,South,1.03460838741982
2013,Black,North Central,1.14580146279409
2013,Black,West,0.990310920675784
2013,Hispanic,Northeast,0.651671938463514
2013,Hispanic,South,0.849927641079354
2013,Hispanic,North Central,0.717695705055047
2013,Hispanic,West,0.83345939269171
2013,Native,Northeast,0.669514916590594
2013,Native,South,0.858857705170226
2013,Native,North Central,0.605157160564622
2013,Native,West,1.15301580506121
2013,Pacific,Northeast,0.684087787412171
2013,Pacific,South,0.780701084957929
2013,Pacific,North Central,0.62141838332636
2013,Pacific,West,0.71478119829142
2013,White,Northeast,1.02548255744366
2013,White,South,1.00032843792457
2013,White,North Central,0.99055633060511
2013,White,West,1.03631044300518
2014,Asian,Northeast,0.720426028305226
2014,Asian,South,0.883031705551672
2014,Asian,North Central,0.860771574383336
2014,Asian,West,0.567935600215996
2014,Black,Northeast,0.975371133034887
2014,Black,South,1.03740808320896
2014,Black,North Central,1.15121642332779
2014,Black,West,1.06252525921046
2014,Hispanic,Northeast,0.608704183445047
2014,Hispanic,South,0.835629660765597
2014,Hispanic,North Central,0.706256336735201
2014,Hispanic,West,0.782734828921934
2014,Native,Northeast,0.657712285127091
2014,Native,South,0.831022818536118
2014,Native,North Central,0.597298684828063
2014,Native,West,1.09802661799029
2014,Pacific,Northeast,0.66542816969485
2014,Pacific,South,0.77406075621973
2014,Pacific,North Central,0.618259664994282
2014,Pacific,West,0.691126766008522
2014,White,Northeast,1.03006708230552
2014,White,South,1.0023776080004
2014,White,North Central,0.991909798291038
2014,White,West,1.03441490720695
2015,Asian,Northeast,0.7458548126325
2015,Asian,South,0.903047350310363
2015,Asian,North Central,0.889367202299588
2015,Asian,West,0.59754076490532
2015,Black,Northeast,0.983742634372645
2015,Black,South,0.99506481509438
2015,Black,North Central,1.14065361543676
2015,Black,West,0.933555663844739
2015,Hispanic,Northeast,0.635638323004013
2015,Hispanic,South,0.871571448539305
2015,Hispanic,North Central,0.743322708718711
2015,Hispanic,West,0.835382074424397
2015,Native,Northeast,0.671593221140337
2015,Native,South,0.863070597484722
2015,Native,North Central,0.625863814876805
2015,Native,West,1.25682360322225
2015,Pacific,Northeast,0.694716681811158
2015,Pacific,South,0.791921240599572
2015,Pacific,North Central,0.631413800276596
2015,Pacific,West,0.751335693489369
2015,White,Northeast,1.02711567884386
2015,White,South,1.00977819086519
2015,White,North Central,0.991609222977527
2015,White,West,1.04304979217136
2016,Asian,Northeast,0.763324522000064
2016,Asian,South,0.943069046007878
2016,Asian,North Central,0.905403167784973
2016,Asian,West,0.5873640254199
2016,Black,Northeast,0.978723312764931
2016,Black,South,0.948008317464615
2016,Black,North Central,1.11857130550649
2016,Black,West,0.971288045138361
2016,Hispanic,Northeast,0.668605666570146
2016,Hispanic,South,0.937744012445906
2016,Hispanic,North Central,0.734217251756548
2016,Hispanic,West,0.792503831388761
2016,Native,Northeast,0.66403117232783
2016,Native,South,0.962251576984718
2016,Native,North Central,0.629562393284761
2016,Native,West,1.18248888945822
2016,Pacific,Northeast,0.696032842039755
2016,Pacific,South,0.83785810098069
2016,Pacific,North Central,0.642549047430228
2016,Pacific,West,0.678620228782998
2016,White,Northeast,1.0273463413645
2016,White,South,1.01568358325118
2016,White,North Central,0.994280049620879
2016,White,West,1.04319448621696
2017,Asian,Northeast,0.786004128811174
2017,Asian,South,0.966899786467389
2017,Asian,North Central,0.911866132049065
2017,Asian,West,0.572276008608135
2017,Black,Northeast,0.977999662620083
2017,Black,South,0.953945221785571
2017,Black,North Central,1.1191956054181
2017,Black,West,0.980677657584883
2017,Hispanic,Northeast,0.683896020342051
2017,Hispanic,South,1.0072900353332
2017,Hispanic,North Central,0.767207581307488
2017,Hispanic,West,0.813306401646765
2017,Native,Northeast,0.685300915223936
2017,Native,South,1.00048489845908
2017,Native,North Central,0.676825370260626
2017,Native,West,1.30517734969197
2017,Pacific,Northeast,0.708016916761809
2017,Pacific,South,0.875264551590475
2017,Pacific,North Central,0.674484794288228
2017,Pacific,West,0.684606680555169
2017,White,Northeast,1.02598591736541
2017,White,South,1.01253935664983
2017,White,North Central,0.992968190447871
2017,White,West,1.04167325328264
2018,Asian,Northeast,0.807594995157516
2018,Asian,South,0.951525622381751
2018,Asian,North Central,0.880625239906716
2018,Asian,West,0.577164501859517
2018,Black,Northeast,1.00498166728298
2018,Black,South,0.963303040973766
2018,Black,North Central,1.13944919329089
2018,Black,West,0.976307322932112
2018,Hispanic,Northeast,0.702199569316605
2018,Hispanic,South,0.926573146524449
2018,Hispanic,North Central,0.759909609191635
2018,Hispanic,West,0.827907342466838
2018,Native,Northeast,0.710603588348489
2018,Native,South,0.911844183304486
2018,Native,North Central,0.679916149738522
2018,Native,West,1.32198438018737
2018,Pacific,Northeast,0.721026124184292
2018,Pacific,South,0.821158057049963
2018,Pacific,North Central,0.681933809533895
2018,Pacific,West,0.698290458890881
2018,White,Northeast,1.01883176172926
2018,White,South,1.01344374012337
2018,White,North Central,0.991723918389354
2018,White,West,1.04197384899732
2019,Asian,Northeast,0.797195410160105
2019,Asian,South,0.951776022937332
2019,Asian,North Central,0.905266326734976
2019,Asian,West,0.594899481699345
2019,Black,Northeast,0.987309830445383
2019,Black,South,0.975337223502733
2019,Black,North Central,1.14036165963201
2019,Black,West,0.979711380386061
2019,Hispanic,Northeast,0.677823823679405
2019,Hispanic,South,0.903614079549027
2019,Hispanic,North Central,0.753866042568897
2019,Hispanic,West,0.772551161872301
2019,Native,Northeast,0.677482225661104
2019,Native,South,0.872715822928612
2019,Native,North Central,0.647844847145053
2019,Native,West,1.17555021828608
2019,Pacific,Northeast,0.712022869417449
2019,Pacific,South,0.814482164181635
2019,Pacific,North Central,0.666232060637736
2019,Pacific,West,0.719348541359281
2019,White,Northeast,1.0239085893999
2019,White,South,1.01165930923173
2019,White,North Central,0.990683232317142
2019,White,West,1.04400340367314
2020,Asian,Northeast,0.795685013457807
2020,Asian,South,0.965186947375098
2020,Asian,North Central,0.911029665574538
2020,Asian,West,0.585489030297273
2020,Black,Northeast,0.959217321411064
2020,Black,South,0.937804531429253
2020,Black,North Central,1.12129015631126
2020,Black,West,0.994892496396626
2020,Hispanic,Northeast,0.70767731600454
2020,Hispanic,South,0.947151197252939
2020,Hispanic,North Central,0.765438440614556
2020,Hispanic,West,0.823678110099552
2020,Native,Northeast,0.706267496773397
2020,Native,South,0.904187436583419
2020,Native,North Central,0.670747018794097
2020,Native,West,1.18863283150837
2020,Pacific,Northeast,0.729468208528562
2020,Pacific,South,0.832425427102796
2020,Pacific,North Central,0.686520784158352
2020,Pacific,West,0.695883853542989
2020,White,Northeast,1.0297611846657
2020,White,South,1.01850280150548
2020,White,North Central,0.993046586754143
2020,White,West,1.04367994425182
